"Symbol: ZCY00",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2020-12-21,445.5,445.5,445.5,445.5,0,,
2020-12-22,449,449,449,449,3.5,,
2020-12-23,452.75,452.75,452.75,452.75,3.75,,
2020-12-24,452.75,452.75,452.75,452.75,0,,
2020-12-28,462,462,462,462,9.25,,
2020-12-29,473,473,473,473,11,,
2020-12-30,481.5,481.5,481.5,481.5,8.5,,
2020-12-31,490,490,490,490,8.5,,
2021-01-04,492.25,492.25,492.25,492.25,2.25,,
2021-01-05,499.25,499.25,499.25,499.25,7,,
2021-01-06,502.5,502.5,502.5,502.5,3.25,,
2021-01-07,500,500,500,500,-2.5,,
2021-01-08,502.25,502.25,502.25,502.25,2.25,,
2021-01-11,498.25,498.25,498.25,498.25,-4,,
2021-01-12,523.25,523.25,523.25,523.25,25,,
2021-01-13,530.5,530.5,530.5,530.5,7.25,,
2021-01-14,537.75,537.75,537.75,537.75,7.25,,
2021-01-15,535,535,535,535,-2.75,,
2021-01-19,529.5,529.5,529.5,529.5,-5.5,,
2021-01-20,525.5,525.5,525.5,525.5,-4,,
2021-01-21,527.75,527.75,527.75,527.75,2.25,,
2021-01-22,504,504,504,504,-23.75,,
2021-01-25,514.5,514.5,514.5,514.5,10.5,,
2021-01-26,535.25,535.25,535.25,535.25,20.75,,
2021-01-27,535,535,535,535,-0.25,,
2021-01-28,535.5,535.5,535.5,535.5,0.5,,
2021-01-29,548,548,548,548,12.5,,
2021-02-01,550.25,550.25,550.25,550.25,2.25,,
2021-02-02,544,544,544,544,-6.25,,
2021-02-03,553,553,553,553,9,,
2021-02-04,551,551,551,551,-2,,
2021-02-05,549.5,549.5,549.5,549.5,-1.5,,
2021-02-08,564.75,564.75,564.75,564.75,15.25,,
2021-02-09,557.25,557.25,557.25,557.25,-7.5,,
2021-02-10,535.5,535.5,535.5,535.5,-21.75,,
2021-02-11,542,542,542,542,6.5,,
2021-02-12,539.75,539.75,539.75,539.75,-2.25,,
2021-02-16,553.25,553.25,553.25,553.25,13.5,,
2021-02-17,554,554,554,554,0.75,,
2021-02-18,551.25,551.25,551.25,551.25,-2.75,,
2021-02-19,543.75,543.75,543.75,543.75,-7.5,,
2021-02-22,552,552,552,552,8.25,,
2021-02-23,554.75,554.75,554.75,554.75,2.75,,
2021-02-24,560.25,560.25,560.25,560.25,5.5,,
2021-02-25,555.75,555.75,555.75,555.75,-4.5,,
2021-02-26,556.5,556.5,556.5,556.5,0.75,,
2021-03-01,545.25,545.25,545.25,545.25,-11.25,,
2021-03-02,552,552,552,552,6.75,,
2021-03-03,542.25,542.25,542.25,542.25,-9.75,,
2021-03-04,539.5,539.5,539.5,539.5,-2.75,,
2021-03-05,552.5,552.5,552.5,552.5,13,,
2021-03-08,553,553,553,553,0.5,,
2021-03-09,551.75,551.75,551.75,551.75,-1.25,,
2021-03-10,540,540,540,540,-11.75,,
2021-03-11,544.5,544.5,544.5,544.5,4.5,,
2021-03-12,545,545,545,545,0.5,,
2021-03-15,555.5,555.5,555.5,555.5,10.5,,
2021-03-16,560.25,560.25,560.25,560.25,4.75,,
2021-03-17,564,564,564,564,3.75,,
2021-03-18,552.5,552.5,552.5,552.5,-11.5,,
2021-03-19,563.75,563.75,563.75,563.75,11.25,,
2021-03-22,555,555,555,555,-8.75,,
2021-03-23,557.25,557.25,557.25,557.25,2.25,,
2021-03-24,559.25,559.25,559.25,559.25,2,,
2021-03-25,559.25,559.25,559.25,559.25,0,,
2021-03-26,558.5,558.5,558.5,558.5,-0.75,,
2021-03-29,552.75,552.75,552.75,552.75,-5.75,,
2021-03-30,547.75,547.75,547.75,547.75,-5,,
2021-03-31,572.75,572.75,572.75,572.75,25,,
2021-04-01,568.25,568.25,568.25,568.25,-4.5,,
2021-04-05,563.75,563.75,563.75,563.75,-4.5,,
2021-04-06,565.25,565.25,565.25,565.25,1.5,,
2021-04-07,571.5,571.5,571.5,571.5,6.25,,
2021-04-08,571.5,571.5,571.5,571.5,0,,
2021-04-09,588.25,588.25,588.25,588.25,16.75,,
2021-04-12,580,580,580,580,-8.25,,
2021-04-13,591,591,591,591,11,,
2021-04-14,605,605,605,605,14,,
2021-04-15,600,600,600,600,-5,,
2021-04-16,595.5,595.5,595.5,595.5,-4.5,,
2021-04-19,602,602,602,602,6.5,,
2021-04-20,616.5,616.5,616.5,616.5,14.5,,
2021-04-21,635.5,635.5,635.5,635.5,19,,
2021-04-22,667,667,667,667,31.5,,
2021-04-23,669.5,669.5,669.5,669.5,2.5,,
2021-04-26,694.5,694.5,694.5,694.5,25,,
2021-04-27,709.5,709.5,709.5,709.5,15,,
2021-04-28,668.5,668.5,668.5,668.5,-41,,
2021-04-29,672.75,672.75,672.75,672.75,4.25,,
2021-04-30,700.75,700.75,700.75,700.75,28,,
2021-05-03,710.5,710.5,710.5,710.5,9.75,,
2021-05-04,729.25,729.25,729.25,729.25,18.75,,
2021-05-05,746,746,746,746,16.75,,
2021-05-06,756.25,756.25,756.25,756.25,10.25,,
2021-05-07,769.75,769.75,769.75,769.75,13.5,,
2021-05-10,749.25,749.25,749.25,749.25,-20.5,,
2021-05-11,762.25,762.25,762.25,762.25,13,,
2021-05-12,754.75,754.75,754.75,754.75,-7.5,,
2021-05-13,719.75,719.75,719.75,719.75,-35,,
2021-05-14,688.75,688.75,688.75,688.75,-31,,
2021-05-17,695,695,695,695,6.25,,
2021-05-18,700.75,700.75,700.75,700.75,5.75,,
2021-05-19,703.25,703.25,703.25,703.25,2.5,,
2021-05-20,709.5,709.5,709.5,709.5,6.25,,
2021-05-21,704.5,704.5,704.5,704.5,-5,,
2021-05-24,702.25,702.25,702.25,702.25,-2.25,,
2021-05-25,665.25,665.25,665.25,665.25,-37,,
2021-05-26,669.5,669.5,669.5,669.5,4.25,,
2021-05-27,704.5,704.5,704.5,704.5,35,,
2021-05-28,696.75,696.75,696.75,696.75,-7.75,,
2021-06-01,729.25,729.25,729.25,729.25,32.5,,
2021-06-02,717.5,717.5,717.5,717.5,-11.75,,
2021-06-03,704.5,704.5,704.5,704.5,-13,,
2021-06-04,725.25,725.25,725.25,725.25,20.75,,
2021-06-07,721.75,721.75,721.75,721.75,-3.5,,
2021-06-08,716.5,716.5,716.5,716.5,-5.25,,
2021-06-09,724.75,724.75,724.75,724.75,8.25,,
2021-06-10,730.5,730.5,730.5,730.5,5.75,,
2021-06-11,716,716,716,716,-14.5,,
2021-06-14,690.75,690.75,690.75,690.75,-25.25,,
2021-06-15,699,699,699,699,8.25,,
2021-06-16,699,699,699,699,0,,
2021-06-17,659,659,659,659,-40,,
2021-06-18,677.75,677.75,677.75,677.75,18.75,,
2021-06-21,677.75,677.75,677.75,677.75,0,,
2021-06-22,673.25,673.25,673.25,673.25,-4.5,,
2021-06-23,665.125,665.125,665.125,665.125,-8.125,,
2021-06-24,658.75,658.75,658.75,658.75,-6.375,,
2021-06-25,635.875,635.875,635.875,635.875,-22.875,,
2021-06-28,607.75,607.75,607.75,607.75,-28.125,,
2021-06-29,654.25,654.25,654.25,654.25,46.5,,
2021-06-30,694.25,694.25,694.25,694.25,40,,
2021-07-01,701.75,701.75,701.75,701.75,7.5,,
2021-07-02,692,692,692,692,-9.75,,
2021-07-06,652,652,652,652,-40,,
2021-07-07,642.75,642.75,642.75,642.75,-9.25,,
2021-07-08,636.75,636.75,636.75,636.75,-6,,
2021-07-09,629.5,629.5,629.5,629.5,-7.25,,
2021-07-12,645.25,645.25,645.25,645.25,15.75,,
2021-07-13,651.25,651.25,651.25,651.25,6,,
2021-07-14,668.25,668.25,668.25,668.25,17,,
2021-07-15,664.25,664.25,664.25,664.25,-4,,
2021-07-16,656,656,656,656,-8.25,,
2021-07-19,658.5,658.5,658.5,658.5,2.5,,
2021-07-20,674.25,674.25,674.25,674.25,15.75,,
2021-07-21,674.25,674.25,674.25,674.25,0,,
2021-07-22,669.5,669.5,669.5,669.5,-4.75,,
2021-07-23,652.25,652.25,652.25,652.25,-17.25,,
2021-07-26,654.75,654.75,654.75,654.75,2.5,,
2021-07-27,653.75,653.75,653.75,653.75,-1,,
2021-07-28,654.25,654.25,654.25,654.25,0.5,,
2021-07-29,663,663,663,663,8.75,,
2021-07-30,652,652,652,652,-11,,
2021-08-02,666.25,666.25,666.25,666.25,14.25,,
2021-08-03,653,653,653,653,-13.25,,
2021-08-04,665.75,665.75,665.75,665.75,12.75,,
2021-08-05,675.75,675.75,675.75,675.75,10,,
2021-08-06,682.5,682.5,682.5,682.5,6.75,,
2021-08-09,677.75,677.75,677.75,677.75,-4.75,,
2021-08-10,671.75,671.75,671.75,671.75,-6,,
2021-08-11,657.25,657.25,657.25,657.25,-14.5,,
2021-08-12,668,668,668,668,10.75,,
2021-08-13,665.75,665.75,665.75,665.75,-2.25,,
2021-08-16,662.25,662.25,662.25,662.25,-3.5,,
2021-08-17,655.75,655.75,655.75,655.75,-6.5,,
2021-08-18,659.25,659.25,659.25,659.25,3.5,,
2021-08-19,640,640,640,640,-19.25,,
2021-08-20,628.75,628.75,628.75,628.75,-11.25,,
2021-08-23,628,628,628,628,-0.75,,
2021-08-24,622,622,622,622,-6,,
2021-08-25,628.75,628.75,628.75,628.75,6.75,,
2021-08-26,622.75,622.75,622.75,622.75,-6,,
2021-08-27,628,628,628,628,5.25,,
2021-08-30,605.25,605.25,605.25,605.25,-22.75,,
2021-08-31,599,599,599,599,-6.25,,
2021-09-01,583.25,583.25,583.25,583.25,-15.75,,
2021-09-02,582.5,582.5,582.5,582.5,-0.75,,
2021-09-03,574,574,574,574,-8.5,,
2021-09-07,560.75,560.75,560.75,560.75,-13.25,,
2021-09-08,560.25,560.25,560.25,560.25,-0.5,,
2021-09-09,555,555,555,555,-5.25,,
2021-09-10,562.5,562.5,562.5,562.5,7.5,,
2021-09-13,558.25,558.25,558.25,558.25,-4.25,,
2021-09-14,565.25,565.25,565.25,565.25,7,,
2021-09-15,626,626,626,626,60.75,,
2021-09-16,607,607,607,607,-19,,
2021-09-17,554.75,554.75,554.75,554.75,-52.25,,
2021-09-20,541.75,541.75,541.75,541.75,-13,,
2021-09-21,537,537,537,537,-4.75,,
2021-09-22,545.5,545.5,545.5,545.5,8.5,,
2021-09-23,549.25,549.25,549.25,549.25,3.75,,
2021-09-24,546.75,546.75,546.75,546.75,-2.5,,
2021-09-27,554.5,554.5,554.5,554.5,7.75,,
2021-09-28,547.5,547.5,547.5,547.5,-7,,
2021-09-29,554,554,554,554,6.5,,
2021-09-30,551.75,551.75,551.75,551.75,-2.25,,
2021-10-01,551.5,551.5,551.5,551.5,-0.25,,
2021-10-04,550.75,550.75,550.75,550.75,-0.75,,
2021-10-05,547.5,547.5,547.5,547.5,-3.25,,
2021-10-06,542.25,542.25,542.25,542.25,-5.25,,
2021-10-07,544,544,544,544,1.75,,
2021-10-08,540.5,540.5,540.5,540.5,-3.5,,
2021-10-11,540.5,540.5,540.5,540.5,0,,
2021-10-12,532.5,532.5,532.5,532.5,-8,,
2021-10-13,522.25,522.25,522.25,522.25,-10.25,,
2021-10-14,526.75,526.75,526.75,526.75,4.5,,
2021-10-15,539.75,539.75,539.75,539.75,13,,
2021-10-18,546.75,546.75,546.75,546.75,7,,
2021-10-19,544.25,544.25,544.25,544.25,-2.5,,
2021-10-20,552.25,552.25,552.25,552.25,8,,
2021-10-21,545.25,545.25,545.25,545.25,-7,,
2021-10-22,552.5,552.5,552.5,552.5,7.25,,
2021-10-25,552.5,552.5,552.5,552.5,0,,
2021-10-26,560,560,560,560,7.5,,
2021-10-27,573.75,573.75,573.75,573.75,13.75,,
2021-10-28,579.25,579.25,579.25,579.25,5.5,,
