Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/10/2023,23.57,23.6,23.32,23.56,-0.06,-0.25%,21391,0
07/07/2023,23.22,23.9,23.17,23.62,0.32,+1.37%,21698,0
07/06/2023,23.59,23.62,23.27,23.3,-0.28,-1.19%,22170,209088
07/05/2023,23.48,23.74,23.16,23.58,0.19,+0.81%,28839,207381
07/03/2023,22.96,23.68,22.87,23.39,0.5,+2.18%,34691,203324
06/30/2023,22.26,23.15,22.26,22.89,0.66,+2.97%,34691,200297
06/29/2023,22.71,22.73,22.06,22.23,-0.42,-1.85%,55347,199800
06/28/2023,23.17,23.27,22.46,22.65,-0.34,-1.48%,32197,197337
06/27/2023,23.53,23.72,22.82,22.99,-0.65,-2.75%,44005,195984
06/26/2023,24.56,24.65,23.58,23.64,-0.65,-2.68%,37205,198939
06/23/2023,25,25,24.17,24.29,-0.66,-2.65%,40860,197498
06/22/2023,25.72,25.73,24.91,24.95,-0.78,-3.03%,44639,200262
06/21/2023,25.93,25.98,25.6,25.73,-0.12,-0.46%,34129,202426
06/20/2023,25.75,25.95,25.41,25.85,0.02,+0.08%,31060,195925
06/16/2023,25.5,25.88,25.38,25.83,0.42,+1.65%,28958,190287
06/15/2023,25.22,25.68,25.03,25.41,0.23,+0.91%,28958,187977
06/14/2023,24.66,25.21,24.57,25.18,0.56,+2.27%,20950,181322
06/13/2023,24.96,25.11,24.55,24.62,-0.36,-1.44%,33097,179854
06/12/2023,24.89,25.45,24.72,24.98,0.14,+0.56%,25990,179462
06/09/2023,25.03,25.5,24.81,24.84,-0.04,-0.16%,37229,179925
06/08/2023,24.1,25.07,24.01,24.88,0.78,+3.24%,42194,178287
06/07/2023,24.2,24.35,24,24.1,-0.02,-0.08%,24962,175141
06/06/2023,24.05,24.22,23.85,24.12,0.07,+0.29%,28440,172766
06/05/2023,24.35,24.6,23.98,24.05,-0.28,-1.15%,26923,171581
06/02/2023,24.37,24.37,24.1,24.33,-0.06,-0.25%,23259,169134
06/01/2023,24.52,24.83,24.21,24.39,-0.09,-0.37%,25366,168221
05/31/2023,24.6,24.78,24.42,24.48,-0.23,-0.93%,16763,165220
05/30/2023,24.84,25.1,24.57,24.71,-0.12,-0.48%,21728,162728
05/26/2023,24.4,25.03,24.15,24.83,0.54,+2.22%,38834,160652
05/25/2023,24.78,24.78,24,24.29,-0.51,-2.06%,38834,157936
05/24/2023,24.94,25.1,24.73,24.8,-0.21,-0.84%,18607,157336
05/23/2023,25.18,25.4,24.96,25.01,-0.19,-0.75%,12990,155798
05/22/2023,25.05,25.22,24.86,25.2,0.14,+0.56%,9875,152498
05/19/2023,24.96,25.34,24.88,25.06,0.16,+0.64%,9515,150589
05/18/2023,25.14,25.22,24.76,24.9,-0.27,-1.07%,11699,149534
05/17/2023,25.32,25.35,25.04,25.17,-0.12,-0.47%,6636,148927
05/16/2023,25.52,25.82,25.23,25.29,-0.24,-0.94%,15477,148608
05/15/2023,25.45,25.62,25.06,25.53,0.1,+0.39%,12443,150619
05/12/2023,25.32,25.6,25.25,25.43,0.14,+0.55%,12391,149841
05/11/2023,25.88,25.93,25.25,25.29,-0.59,-2.28%,23361,148456
05/10/2023,25.4,25.94,25.25,25.88,0.43,+1.69%,14540,146000
05/09/2023,25.29,25.65,25.19,25.45,0.12,+0.47%,13665,143540
05/08/2023,25.56,25.66,25.22,25.33,-0.2,-0.78%,11093,142577
05/05/2023,24.87,25.64,24.85,25.53,0.71,+2.86%,16027,141524
05/04/2023,24.48,24.94,24.32,24.82,0.35,+1.43%,14040,140905
05/03/2023,24.42,24.66,24.17,24.47,0.02,+0.08%,18413,141127
05/02/2023,24.82,25.32,24.38,24.45,-0.4,-1.61%,23666,142708
