Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/10/2023,23.48,23.5,23.2,23.44,-0.09,-0.38%,41256,0
07/07/2023,23.15,23.83,23.11,23.53,0.28,+1.20%,43778,0
07/06/2023,23.5,23.58,23.2,23.25,-0.28,-1.19%,49485,389557
07/05/2023,23.4,23.72,23.06,23.53,0.21,+0.90%,62176,390547
07/03/2023,22.87,23.61,22.78,23.32,0.53,+2.33%,81854,390933
06/30/2023,22.18,23.09,22.17,22.79,0.71,+3.22%,81854,391248
06/29/2023,22.66,22.7,21.88,22.08,-0.52,-2.30%,108917,395321
06/28/2023,23.18,23.27,22.4,22.6,-0.38,-1.65%,83336,399496
06/27/2023,23.66,23.75,22.79,22.98,-0.68,-2.87%,121902,404783
06/26/2023,24.55,24.72,23.62,23.66,-0.63,-2.59%,92503,413723
06/23/2023,24.98,24.98,24.16,24.29,-0.68,-2.72%,93642,418174
06/22/2023,25.85,25.86,24.91,24.97,-0.88,-3.40%,94918,416157
06/21/2023,26.11,26.18,25.75,25.85,-0.18,-0.69%,81179,411865
06/20/2023,26.07,26.19,25.62,26.03,-0.06,-0.23%,103996,402029
06/16/2023,25.75,26.14,25.63,26.09,0.46,+1.79%,99865,391777
06/15/2023,25.4,25.93,25.19,25.63,0.26,+1.02%,99865,388638
06/14/2023,24.87,25.41,24.73,25.37,0.6,+2.42%,73315,385387
06/13/2023,25.15,25.28,24.69,24.77,-0.38,-1.51%,103483,380795
06/12/2023,25.05,25.64,24.85,25.15,0.13,+0.52%,92661,370386
06/09/2023,25.3,25.74,24.98,25.02,-0.07,-0.28%,109054,360435
06/08/2023,24.22,25.3,24.14,25.09,0.85,+3.51%,107343,337425
06/07/2023,24.39,24.58,24.14,24.24,-0.05,-0.21%,62040,323993
06/06/2023,24.25,24.45,24.01,24.29,0.1,+0.41%,89410,314627
06/05/2023,24.56,24.82,24.14,24.19,-0.32,-1.31%,81177,298880
06/02/2023,24.51,24.53,24.31,24.51,-0.1,-0.41%,47713,289381
06/01/2023,24.83,25.09,24.46,24.61,-0.13,-0.53%,47123,278995
05/31/2023,24.98,25.08,24.7,24.74,-0.26,-1.04%,47596,265299
05/30/2023,25.18,25.46,24.87,25,-0.14,-0.56%,74718,256750
05/26/2023,24.68,25.38,24.48,25.14,0.54,+2.20%,83864,262205
05/25/2023,25.16,25.18,24.37,24.6,-0.61,-2.42%,83864,258909
05/24/2023,25.46,25.59,25.18,25.21,-0.28,-1.10%,41505,254762
05/23/2023,25.63,25.87,25.46,25.49,-0.16,-0.62%,36918,253766
05/22/2023,25.45,25.7,25.29,25.65,0.16,+0.63%,27525,253168
05/19/2023,25.32,25.78,25.3,25.49,0.18,+0.71%,25716,252046
05/18/2023,25.53,25.64,25.16,25.31,-0.28,-1.09%,41014,251824
