Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
SBV23,07/10/2023,23.48,23.5,23.2,23.44,-0.09,-0.38%,77233,0
SBV23,07/07/2023,23.15,23.83,23.11,23.53,0.28,+1.20%,81795,876736
SBV23,07/06/2023,23.5,23.58,23.2,23.25,-0.28,-1.19%,90020,871389
SBV23,07/05/2023,23.4,23.72,23.06,23.53,0.21,+0.90%,125556,867124
SBV23,07/03/2023,22.87,23.61,22.78,23.32,0.53,+2.33%,146767,863595
SBV23,06/30/2023,22.18,23.09,22.17,22.79,0.71,+3.22%,146767,860912
SBV23,06/29/2023,22.66,22.7,21.88,22.08,-0.52,-2.30%,216573,870076
SBV23,06/28/2023,23.18,23.27,22.4,22.6,-0.38,-1.65%,149939,881151
SBV23,06/27/2023,23.66,23.75,22.79,22.98,-0.68,-2.87%,230576,891033
SBV23,06/26/2023,24.55,24.72,23.62,23.66,-0.63,-2.59%,194233,914259
SBV23,06/23/2023,24.98,24.98,24.16,24.29,-0.68,-2.72%,209198,933449
SBV23,06/22/2023,25.85,25.86,24.91,24.97,-0.88,-3.40%,212533,945702
SBV23,06/21/2023,26.11,26.18,25.75,25.85,-0.18,-0.69%,202441,962304
SBV23,06/20/2023,26.07,26.19,25.62,26.03,-0.06,-0.23%,220217,967113
SBV23,06/16/2023,25.75,26.14,25.63,26.09,0.46,+1.79%,272109,978122
SBV23,06/15/2023,25.4,25.93,25.19,25.63,0.26,+1.02%,272109,979539
SBV23,06/14/2023,24.87,25.41,24.73,25.37,0.6,+2.42%,186779,998711
SBV23,06/13/2023,25.15,25.28,24.69,24.77,-0.38,-1.51%,262937,1001738
SBV23,06/12/2023,25.05,25.64,24.85,25.15,0.13,+0.52%,240699,1015985
SBV23,06/09/2023,25.3,25.74,24.98,25.02,-0.07,-0.28%,276536,1026537
SBV23,06/08/2023,24.22,25.3,24.14,25.09,0.85,+3.51%,319320,1022204
SBV23,06/07/2023,24.39,24.58,24.14,24.24,-0.34,-1.38%,196997,1023348
SBN23,06/06/2023,24.44,24.75,24.23,24.58,0.18,+0.74%,267599,1021535
SBN23,06/05/2023,24.85,25.08,24.33,24.4,-0.33,-1.33%,255977,1002573
SBN23,06/02/2023,24.88,24.88,24.57,24.73,-0.15,-0.60%,186488,1000634
SBN23,06/01/2023,25.1,25.4,24.74,24.88,-0.18,-0.72%,158898,994122
SBN23,05/31/2023,25.3,25.44,25.02,25.06,-0.27,-1.07%,141343,976640
SBN23,05/30/2023,25.38,25.83,25.19,25.33,-0.04,-0.16%,213852,962437
SBN23,05/26/2023,24.95,25.64,24.71,25.37,0.54,+2.17%,275683,973410
SBN23,05/25/2023,25.4,25.45,24.61,24.83,-0.66,-2.59%,275683,980007
SBN23,05/24/2023,25.77,25.93,25.46,25.49,-0.32,-1.24%,139415,985411
SBN23,05/23/2023,25.99,26.22,25.77,25.81,-0.18,-0.69%,126617,983887
SBN23,05/22/2023,25.75,26.05,25.58,25.99,0.21,+0.81%,89540,977684
SBN23,05/19/2023,25.65,26.09,25.59,25.78,0.17,+0.66%,85252,972832
SBN23,05/18/2023,25.88,25.97,25.46,25.61,-0.3,-1.16%,120221,968146
