Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/07/2023,657.8,671.5,657.8,666.1,8.8,+1.34%,3765,0
07/06/2023,659.2,662.8,656,657.3,-1.5,-0.23%,5523,12751
07/05/2023,648.6,662.6,642.9,658.8,7.7,+1.18%,6253,15610
07/04/2023,643.3,651.8,634.9,651.1,7.8,+1.21%,2812,16702
07/03/2023,632.7,649.8,627.4,643.3,9.9,+1.56%,4345,18423
06/30/2023,626.5,639.4,620.5,633.4,12.8,+2.06%,5942,19015
06/29/2023,629.6,631.5,612.1,620.6,-8.2,-1.30%,4653,19433
06/28/2023,628,638.4,620,628.8,1.6,+0.26%,7138,19965
06/27/2023,647.9,648,614.5,627.2,-21.2,-3.27%,8780,21353
06/26/2023,657.9,665.9,647.6,648.4,-8.9,-1.35%,5480,22172
06/23/2023,672,672.2,655,657.3,-16.6,-2.46%,7411,22970
06/22/2023,690.2,692.6,671.6,673.9,-19.5,-2.81%,9595,24353
06/21/2023,702.6,705,691.6,693.4,-7.8,-1.11%,6139,25873
06/20/2023,698.4,703.5,689.3,701.2,0,0.00%,6128,27117
06/19/2023,704.2,710.8,700.1,701.2,-1.3,-0.19%,2144,29002
06/16/2023,688,703.3,686.5,702.5,17.5,+2.55%,4913,29546
06/15/2023,687.8,695,679,685,-2.1,-0.31%,7222,29808
06/14/2023,682.2,688.6,675,687.1,7.1,+1.04%,3442,30849
06/13/2023,684.1,690.1,677,680,-4.6,-0.67%,3534,31031
06/12/2023,680.9,695,678.1,684.6,3.7,+0.54%,3995,30910
06/09/2023,694.4,700.5,678.2,680.9,-7.9,-1.15%,6475,30442
06/08/2023,671,692.6,669.8,688.8,19.6,+2.93%,4787,31385
06/07/2023,673.3,677.6,666.5,669.2,-1.7,-0.25%,3957,32218
06/06/2023,678.6,681.3,665.7,670.9,-5.5,-0.81%,7662,32932
06/05/2023,689,696.2,675.7,676.4,-9.7,-1.41%,5753,34063
06/02/2023,690.2,693,683.7,686.1,-4,-0.58%,5553,34718
06/01/2023,701.7,703.6,689.7,690.1,-6,-0.86%,6211,35608
05/31/2023,703.3,705.6,695.1,696.1,-10.7,-1.51%,5521,36637
05/30/2023,708.4,718,702.3,706.8,-1.7,-0.24%,3605,38090
05/26/2023,700.8,714.8,693.5,708.5,11.5,+1.65%,4204,38343
05/25/2023,705.3,705.9,691.6,697,-11,-1.55%,7066,38828
05/24/2023,712,717.3,705.5,708,-5.4,-0.76%,3999,38802
05/23/2023,714.6,722,712.5,713.4,0.5,+0.07%,3353,38442
05/22/2023,714,715.4,706.7,712.9,2.9,+0.41%,2794,38268
05/19/2023,709.2,717.1,707.9,710,3.4,+0.48%,3749,37854
05/18/2023,710.8,713.7,703,706.6,-5.1,-0.72%,4044,37463
05/17/2023,716.8,719.4,704.8,711.7,-3.3,-0.46%,6515,37117
05/16/2023,718,726.9,713.3,715,-1.9,-0.27%,3527,36823
05/15/2023,718.5,719.7,707.6,716.9,1.8,+0.25%,3105,37135
05/12/2023,709.8,718.3,707.6,715.1,9.8,+1.39%,4060,36945
05/11/2023,717.3,721.8,705,705.3,-12.9,-1.80%,3341,36940
05/10/2023,710.3,720.3,706.1,718.2,9.1,+1.28%,4177,36824
05/09/2023,712.4,715.7,703.5,709.1,-6.6,-0.92%,3731,36881
05/05/2023,702.3,719.3,697.2,715.7,17.9,+2.57%,3640,37171
05/04/2023,687.3,699.5,685,697.8,10.2,+1.48%,3694,37109
05/03/2023,695,696.1,685.7,687.6,-6,-0.87%,5979,37207
05/02/2023,699.6,713.5,689.3,693.6,-18,-2.53%,6762,37507
04/28/2023,723.3,725,707.5,711.6,-8.5,-1.18%,7251,37876
04/27/2023,693.3,730.5,693,720.1,25,+3.60%,12679,38674
04/26/2023,705.7,711.8,693.4,695.1,-10,-1.42%,6370,39166
04/25/2023,687.7,711.3,683,705.1,15,+2.17%,8353,39497
04/24/2023,675.1,694.4,675.1,690.1,13.7,+2.03%,9076,39797
04/21/2023,695.5,695.5,674.8,676.4,-19.3,-2.77%,7697,40321
04/20/2023,680.3,697.3,676,695.7,15.6,+2.29%,6000,40484
04/19/2023,678.4,687.9,677.5,680.1,4,+0.59%,4259,39811
04/18/2023,666.4,678.3,665,676.1,7.6,+1.14%,3999,39299
04/17/2023,671.2,676,665,668.5,0.3,+0.04%,4053,39177
04/14/2023,666.1,672.5,658.2,668.2,2,+0.30%,4857,39540
04/13/2023,670.8,680,662,666.2,-3.8,-0.57%,7487,39902
04/12/2023,683.2,683.8,669,670,-9.9,-1.46%,8218,40255
04/11/2023,665,690.2,665,679.9,18.1,+2.73%,19871,40332
04/06/2023,646.1,664,636.7,661.8,15,+2.32%,11411,38402
04/05/2023,630.9,649.6,627.6,646.8,17.4,+2.76%,13492,37881
04/04/2023,621.7,630.5,618.7,629.4,6.6,+1.06%,9783,36461
04/03/2023,623,630.7,620.8,622.8,3.6,+0.58%,8699,32640
03/31/2023,613,621.5,608.8,619.2,3.6,+0.58%,8183,30085
03/30/2023,606,619.2,605.3,615.6,11.1,+1.84%,8450,28593
03/29/2023,603.4,605.2,597.3,604.5,2.4,+0.40%,7014,26998
03/28/2023,592,604.6,590.9,602.1,13.8,+2.35%,6792,25712
03/27/2023,583.8,592.2,582.2,588.3,5.1,+0.87%,4465,24078
03/24/2023,583.5,584.8,579.3,583.2,0.2,+0.03%,3176,23688
03/23/2023,588.5,592,582,583,-5.2,-0.88%,5156,23229
03/22/2023,574.7,589.5,574.7,588.2,13.5,+2.35%,6393,22757
03/21/2023,569,576.1,567.4,574.7,7.8,+1.38%,3619,22204
03/20/2023,569.6,570.9,566.3,566.9,-4.7,-0.82%,1413,21949
03/17/2023,572.3,576.6,568.1,571.6,0.1,+0.02%,1950,21921
03/16/2023,567.7,574.6,563.5,571.5,5.1,+0.90%,2734,21717
03/15/2023,567.8,570,564.2,566.4,-2.2,-0.39%,2360,21446
03/14/2023,570.8,574.9,568.3,568.6,-2.2,-0.39%,2646,20842
03/13/2023,575.5,577.2,568,570.8,-6.8,-1.18%,2906,20786
03/10/2023,576,579.4,568.8,577.6,-1,-0.17%,1699,20410
03/09/2023,572,580.7,568.9,578.6,5.6,+0.98%,2888,19719
03/08/2023,575.3,575.3,570,573,-2,-0.35%,1097,19585
03/07/2023,568.1,578.2,567.5,575,8.1,+1.43%,3316,19349
03/06/2023,572.5,573.2,562.9,566.9,-5.8,-1.01%,2570,18188
03/03/2023,562.5,573.2,561.8,572.7,13.2,+2.36%,2408,18056
03/02/2023,562.2,564.8,555.3,559.5,-3.3,-0.59%,2412,17852
