Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/07/2023,638.8,651.3,638.7,646.4,6.2,+0.97%,1221,0
07/06/2023,646.2,648,639.2,640.2,-6.5,-1.01%,2214,18124
07/05/2023,641.6,649.6,634.8,646.7,3.8,+0.59%,2162,18426
07/04/2023,637.9,643.9,631.9,642.9,5.5,+0.86%,703,18452
07/03/2023,629.3,643.2,625.5,637.4,10.1,+1.61%,2147,18512
06/30/2023,619.2,631.2,617,627.3,14.1,+2.30%,2709,18828
06/29/2023,626.5,628.4,609.3,613.2,-13.1,-2.09%,2458,18843
06/28/2023,632.2,638.9,622.7,626.3,-5.4,-0.85%,2276,18804
06/27/2023,649.6,649.6,623.9,631.7,-18.3,-2.82%,4137,19001
06/26/2023,666,669.6,648.1,650,-13.4,-2.02%,1410,18600
06/23/2023,673.2,673.7,661.4,663.4,-11.8,-1.75%,1200,18504
06/22/2023,690.8,693.9,674.4,675.2,-18.6,-2.68%,2224,18442
06/21/2023,699.8,700.4,692.7,693.8,-5,-0.72%,1529,18237
06/20/2023,688.6,700.9,684.1,698.8,6.8,+0.98%,2003,18048
06/19/2023,696.5,699.3,690.4,692,-4.5,-0.65%,817,17856
06/16/2023,688.2,697.2,685.1,696.5,12,+1.75%,1743,17840
06/15/2023,678.3,691.8,677.5,684.5,5.8,+0.85%,1981,17688
06/14/2023,671.1,680.5,666.2,678.7,9.7,+1.45%,1492,17080
06/13/2023,674.8,679.4,667.5,669,-6.4,-0.95%,1126,16489
06/12/2023,673.3,686.1,671.5,675.4,2.1,+0.31%,1296,16197
06/09/2023,677.6,685.8,671.1,673.3,0,0.00%,1785,15918
06/08/2023,656,677.4,655.3,673.3,17.5,+2.67%,1266,15589
06/07/2023,659.2,662,652.9,655.8,-1.3,-0.20%,1274,15414
06/06/2023,661.5,662.3,653.7,657.1,-2.4,-0.36%,3551,15279
06/05/2023,669.3,673.1,658.8,659.5,-7.6,-1.14%,939,14053
06/02/2023,668,669.7,663.7,667.1,-2,-0.30%,1032,13980
06/01/2023,678.7,680.9,666,669.1,-4,-0.59%,1423,13768
05/31/2023,678.7,680,672.7,673.1,-7.8,-1.15%,681,13748
05/30/2023,682.1,690,674,680.9,-1.6,-0.23%,1573,13734
05/26/2023,675.6,687.7,670.7,682.5,10,+1.49%,1488,13570
05/25/2023,681.1,681.4,667.9,672.5,-11.8,-1.72%,1757,13192
05/24/2023,684.6,690,681.1,684.3,-2.7,-0.39%,1543,13063
05/23/2023,691.3,694.8,685.9,687,-3,-0.43%,1577,12966
05/22/2023,690.6,690.9,683.8,690,3.6,+0.52%,423,12428
05/19/2023,685.5,693.8,684,686.4,2.5,+0.37%,1065,12366
05/18/2023,688.9,691.1,680.9,683.9,-5.2,-0.75%,600,11980
05/17/2023,694.1,695.2,684.7,689.1,-3.6,-0.52%,1813,11832
05/16/2023,696.2,703.8,691.4,692.7,-3.4,-0.49%,1226,11884
05/15/2023,695.7,697.8,686.4,696.1,3,+0.43%,1071,11763
05/12/2023,690.3,697.1,688.6,693.1,5.3,+0.77%,1137,11694
05/11/2023,699.6,701.1,687,687.8,-11.6,-1.66%,1385,11514
05/10/2023,691,700.7,687.4,699.4,8.5,+1.23%,1336,11504
05/09/2023,690.6,695.5,684.7,690.9,-3.1,-0.45%,944,11391
05/05/2023,679.8,695.9,677.6,694,17.6,+2.60%,578,11353
05/04/2023,667.7,678,664.8,676.4,8,+1.20%,1042,11344
05/03/2023,670.5,672.7,664.5,668.4,-2.1,-0.31%,1159,11257
05/02/2023,683,692.8,669.3,670.5,-22.2,-3.20%,2158,11255
04/28/2023,697.4,697.7,687.9,692.7,-1.4,-0.20%,1617,11154
04/27/2023,675,704.3,675,694.1,19.2,+2.84%,4435,11125
04/26/2023,680,688.1,674.3,674.9,-6.9,-1.01%,1137,11266
04/25/2023,666.1,686.4,662.4,681.8,14.2,+2.13%,2623,11236
04/24/2023,652,670.5,652,667.6,16.2,+2.49%,2521,11298
04/21/2023,662.6,662.6,649,651.4,-11.4,-1.72%,1699,10744
04/20/2023,647.6,663.3,645.3,662.8,14.2,+2.19%,1692,10730
04/19/2023,648,654.4,645.2,648.6,1.9,+0.29%,787,10488
04/18/2023,639.4,647.9,638.5,646.7,5.1,+0.79%,897,10463
04/17/2023,641.1,643.5,636.6,641.6,3.6,+0.56%,965,10514
04/14/2023,637.2,641.1,630.4,638,0.3,+0.05%,1043,10277
04/13/2023,640,649.5,633.5,637.7,-1.2,-0.19%,1349,10161
04/12/2023,645,646.6,636.2,638.9,-3.8,-0.59%,630,10016
04/11/2023,633,645.9,633,642.7,13,+2.06%,2504,9880
04/06/2023,615.7,630.4,610.7,629.7,14,+2.27%,1892,9396
04/05/2023,602.9,616.5,601.9,615.7,13.6,+2.26%,1281,8815
04/04/2023,596.3,602.8,593.5,602.1,4.3,+0.72%,1621,8544
