Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/07/2023,518.5,521.25,505.5,506,-12.25,-2.36%,20227,0
07/06/2023,507.75,519.75,504.5,518.25,13,+2.57%,26038,122130
07/05/2023,514.5,514.75,497.5,505.25,0.75,+0.15%,41219,118754
07/03/2023,502.5,516.25,500.5,504.5,-2,-0.39%,34074,113288
06/30/2023,541.5,547.75,504.75,506.5,-32.25,-5.99%,89327,109562
06/29/2023,548.75,552.75,536.5,538.75,-8,-1.46%,29138,101702
06/28/2023,571.75,572,544.25,546.75,-23.5,-4.12%,35000,100270
06/27/2023,602.75,603,564,570.25,-26.5,-4.44%,31329,97086
06/26/2023,602.5,608.5,584.25,596.75,0.5,+0.08%,23644,93638
06/23/2023,623.5,624,592,596.25,-31.75,-5.06%,28155,88525
06/22/2023,630.75,633,621,628,-7.75,-1.22%,23716,85724
06/21/2023,616.25,636.25,612.25,635.75,29.75,+4.91%,40201,85099
06/20/2023,605.5,614.5,596,606,2,+0.33%,32329,83475
06/16/2023,580.75,604.25,580.25,604,21.75,+3.74%,38843,78758
06/15/2023,558.25,582.75,558.25,582.25,24,+4.30%,28606,77448
06/14/2023,558.75,562,551.75,558.25,-2,-0.36%,16309,73767
06/13/2023,558.5,568.25,553,560.25,1.5,+0.27%,14636,71249
06/12/2023,547,559.75,545.75,558.75,18.5,+3.42%,18464,70205
06/09/2023,542.25,543,533.75,540.25,-3,-0.55%,11841,70059
06/08/2023,535.5,543.75,530.25,543.25,2.5,+0.46%,15138,68428
06/07/2023,549.5,551.5,538.25,540.75,-10,-1.82%,11606,66150
06/06/2023,550,556,542.75,550.75,4,+0.73%,10912,64739
06/05/2023,552,556.75,545,546.75,-3.25,-0.59%,9826,64431
06/02/2023,538.25,550.75,533.25,550,10.5,+1.95%,11245,65371
06/01/2023,529.25,545.75,529.25,539.5,8.25,+1.55%,11132,63666
05/31/2023,535.25,535.25,520.75,531.25,-3.25,-0.61%,9172,62799
05/30/2023,543.25,545,526.5,534.5,-8.75,-1.61%,11477,63031
05/26/2023,525,544.5,523.75,543.25,17.75,+3.38%,10379,64530
05/25/2023,528.75,532.25,523.25,525.5,-4,-0.76%,5789,62599
05/24/2023,526.25,536.25,525,529.5,3.25,+0.62%,10781,61932
05/23/2023,519,528.5,514.5,526.25,7.75,+1.49%,7296,60892
05/22/2023,508.25,519.5,506.75,518.5,8.5,+1.67%,7739,60158
05/19/2023,510.75,520.5,509,510,-1.25,-0.24%,10992,59456
05/18/2023,509.5,513,501.25,511.25,1.75,+0.34%,10983,58335
05/17/2023,516.75,517.75,504.5,509.5,-6.25,-1.21%,14683,58206
05/16/2023,525,527.25,511.5,515.75,-9.5,-1.81%,7623,57825
05/15/2023,516,526.25,514,525.25,6,+1.16%,6934,58494
05/12/2023,521.75,529.25,514.75,519.25,-4.5,-0.86%,8805,57726
05/11/2023,528.5,528.5,522.5,523.75,-6.75,-1.27%,9603,57091
05/10/2023,529.5,530.75,522.5,530.5,2.25,+0.43%,7402,56334
05/09/2023,537.5,537.5,526.25,528.25,-10.75,-1.99%,8452,55424
05/08/2023,543.75,545.25,536,539,-4.5,-0.83%,9529,55118
05/05/2023,539,545.75,538.25,543.5,5.25,+0.98%,9685,53174
05/04/2023,540,543.25,533.25,538.25,-2.25,-0.42%,5711,50979
05/03/2023,528.75,540.75,523,540.5,10.5,+1.98%,10187,50615
05/02/2023,535,540.25,528.25,530,-5.25,-0.98%,7062,49453
05/01/2023,539.25,539.75,530.25,535.25,-3,-0.56%,6499,49147
