Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/07/2023,525.25,527.5,512.5,513.25,-12,-2.28%,4708,0
07/06/2023,515,526.25,512,525.25,12.75,+2.49%,6580,37819
07/05/2023,521,521,504.75,512.5,1.5,+0.29%,12500,37836
07/03/2023,512.25,523,507.75,511,-2.5,-0.49%,12052,35203
06/30/2023,547,552,511.75,513.5,-30.25,-5.56%,29865,34964
06/29/2023,553,557.25,542,543.75,-8,-1.45%,9776,32226
06/28/2023,574.75,575.75,549,551.75,-22.25,-3.88%,16494,32669
06/27/2023,604.75,604.75,567.5,574,-26,-4.33%,12556,31134
06/26/2023,604.5,610.75,587.75,600,0.75,+0.13%,9936,30161
06/23/2023,625,625.75,594.75,599.25,-30.5,-4.84%,11045,28913
06/22/2023,631.5,634.5,623.25,629.75,-7.25,-1.14%,12685,27408
06/21/2023,619,637.75,615,637,27.25,+4.47%,18892,26761
06/20/2023,606.5,615.25,598.75,609.75,4,+0.66%,14056,25585
06/16/2023,584,605.75,583.75,605.75,20.25,+3.46%,13180,23970
06/15/2023,563.5,585.75,563.25,585.5,22.75,+4.04%,8627,23130
06/14/2023,562,566.25,556.25,562.75,-1.5,-0.27%,4658,22652
06/13/2023,562.25,572,557,564.25,1.25,+0.22%,5462,23006
06/12/2023,552.25,563.75,551.75,563,17.75,+3.26%,6725,22557
06/09/2023,547.5,548,539.25,545.25,-3,-0.55%,7027,22155
06/08/2023,539.25,549.25,536,548.25,2,+0.37%,6140,22401
06/07/2023,554.25,556.5,543.75,546.25,-10,-1.80%,4683,22402
06/06/2023,555,561.5,548.25,556.25,3.5,+0.63%,4563,22382
06/05/2023,555.25,562,550.5,552.75,-2.75,-0.50%,5244,22394
06/02/2023,543.75,555.75,538.75,555.5,10.5,+1.93%,4516,22937
06/01/2023,536,550.75,535.25,545,8.25,+1.54%,6005,22321
05/31/2023,539.5,539.5,526.5,536.75,-3.25,-0.60%,3967,21346
05/30/2023,547.75,549.5,532.5,540,-8,-1.46%,4253,20722
05/26/2023,530.5,549.5,529.5,548,16.75,+3.15%,4117,20307
05/25/2023,535,538,529,531.25,-3.75,-0.70%,2460,20152
05/24/2023,532.25,541.75,530.75,535,3,+0.56%,4736,19897
05/23/2023,524.25,534.25,520.25,532,7.75,+1.48%,2365,19189
05/22/2023,515,525,512.75,524.25,8.5,+1.65%,2099,19241
05/19/2023,516,526.25,515.25,515.75,-1.5,-0.29%,2511,19300
05/18/2023,514.25,518.75,507.75,517.25,1.5,+0.29%,2997,19411
05/17/2023,523.5,524,511.25,515.75,-6.25,-1.20%,5483,19505
05/16/2023,531.75,533.25,518,522,-9.25,-1.74%,2323,19854
05/15/2023,522,532.5,520.5,531.25,5.5,+1.05%,3318,20026
05/12/2023,528.75,535.25,521,525.75,-4.5,-0.85%,4375,20144
05/11/2023,534.25,534.5,529,530.25,-6,-1.12%,5550,20097
05/10/2023,535,536.75,528.75,536.25,1.5,+0.28%,3106,19736
05/09/2023,542,542.25,532.75,534.75,-10,-1.84%,3489,19756
05/08/2023,548.75,550.75,542,544.75,-4.5,-0.82%,2890,19636
05/05/2023,545,551,544.5,549.25,5,+0.92%,3509,19310
05/04/2023,546.5,549.25,539.5,544.25,-2.25,-0.41%,2764,19569
05/03/2023,535.25,546.75,529.75,546.5,10,+1.86%,4344,19703
05/02/2023,541,546.5,534.75,536.5,-5.25,-0.97%,3180,20217
05/01/2023,546.5,546.5,537,541.75,-3.25,-0.60%,2513,20387
04/28/2023,547,549,538.75,545,-2.75,-0.50%,5603,20279
04/27/2023,559.5,560,547,547.75,-11.75,-2.10%,7962,19580
04/26/2023,564,566,559,559.5,-5,-0.89%,3560,18430
04/25/2023,564,564.75,557.25,564.5,1,+0.18%,5011,17808
04/24/2023,563.5,564.75,557.5,563.5,1.25,+0.22%,7889,16533
04/21/2023,571.75,573.25,561,562.25,-9.5,-1.66%,2496,13739
04/20/2023,575,576,568,571.75,-4.5,-0.78%,2358,13491
04/19/2023,583.75,583.75,575.75,576.25,-7.5,-1.28%,1792,12969
04/18/2023,578.5,583.75,577.5,583.75,4,+0.69%,1258,12562
04/17/2023,573,579.75,572,579.75,6.25,+1.09%,2071,12566
04/14/2023,567.25,573.75,564.75,573.5,6,+1.06%,1602,12226
04/13/2023,568.75,571,565.75,567.5,-1.75,-0.31%,1775,11737
04/12/2023,570,573.5,569,569.25,-2.75,-0.48%,1154,11185
04/11/2023,574.75,577.5,567.5,572,-3.25,-0.56%,1131,11161
04/10/2023,568.5,575.75,563.5,575.25,5.5,+0.97%,1298,10900
04/06/2023,571.75,573.25,568.5,569.75,-3.5,-0.61%,743,10533
04/05/2023,573.75,576,569,573.25,0.75,+0.13%,743,10165
04/04/2023,579,580.25,571.5,572.5,-6.75,-1.17%,1674,9921
04/03/2023,578,586,577.75,579.25,0.75,+0.13%,2061,9493
03/31/2023,576.75,585,571,578.5,-0.5,-0.09%,2425,8941
03/30/2023,581.5,584,578.5,579,-4.25,-0.73%,1161,8945
03/29/2023,584,588.25,581.75,583.25,-2,-0.34%,921,8810
03/28/2023,582,586.25,579.75,585.25,2,+0.34%,898,8893
03/27/2023,574.75,583.25,571.75,583.25,9,+1.57%,662,8898
03/24/2023,566,574.5,564,574.25,7.5,+1.32%,968,8669
03/23/2023,567,572.25,563.75,566.75,-1.75,-0.31%,1267,8483
03/22/2023,569.75,571,561.5,568.5,-2,-0.35%,1364,8384
03/21/2023,572.75,577,568.5,570.5,-2.75,-0.48%,520,7986
03/20/2023,574.25,574.25,568.75,573.25,-2,-0.35%,934,7900
03/17/2023,572,575.5,572,575.25,2.5,+0.44%,529,7652
03/16/2023,570.5,572.75,568,572.75,2,+0.35%,974,7504
03/15/2023,575,577,569.25,570.75,-2.25,-0.39%,685,7152
03/14/2023,570.5,574.25,566.75,573,2,+0.35%,1275,6897
03/13/2023,572.25,574.75,565.25,571,-0.25,-0.04%,872,6559
03/10/2023,566,572,564.75,571.25,4.25,+0.75%,429,6290
03/09/2023,571.25,573.25,564.75,567,-4.25,-0.74%,869,6174
03/08/2023,580,580.25,570.75,571.25,-9.25,-1.59%,917,5829
03/07/2023,583.25,584,579.5,580.5,-2.5,-0.43%,601,5586
03/06/2023,579.25,583.25,578.75,583,-0.75,-0.13%,597,5365
03/03/2023,583.75,586.25,580.25,583.75,0.5,+0.09%,429,5075
03/02/2023,582.75,584.5,578,583.25,1,+0.17%,431,4929
03/01/2023,583.25,585.75,577.5,582.25,-0.5,-0.09%,600,4814
02/28/2023,588,589.75,582,582.75,-6.25,-1.06%,396,4695
02/27/2023,589,591.5,587.75,589,-0.25,-0.04%,308,4539
02/24/2023,598.25,599,587.25,589.25,-8.75,-1.46%,1805,4528
02/23/2023,603.25,604.5,597.25,598,-5.75,-0.95%,1066,4018
02/22/2023,606.75,607.25,603,603.75,-4,-0.66%,206,3643
02/21/2023,607,608.5,605,607.75,1.25,+0.21%,346,3582
02/17/2023,603.5,607,603.25,606.5,2.25,+0.37%,161,3424
02/16/2023,605.75,606.25,603.75,604.25,-1.75,-0.29%,43,3443
02/15/2023,605,606,605,606,-2.25,-0.37%,99,3442
02/14/2023,607.75,609.5,606.25,608.25,0.25,+0.04%,182,3441
02/13/2023,606.25,608,603.25,608,1,+0.16%,353,3366
02/10/2023,602,608.5,601.5,607,5,+0.83%,807,3345
02/09/2023,604.75,605.75,602,602,-3.75,-0.62%,689,3182
02/08/2023,603.25,606,602,605.75,2,+0.33%,517,2933
02/07/2023,607.25,607.25,602.5,603.75,-3.75,-0.62%,128,2760
02/06/2023,605,608,602.25,607.5,1.75,+0.29%,96,2724
02/03/2023,603,606.75,602,605.75,0.5,+0.08%,82,2719
02/02/2023,606,607.5,603.25,605.25,-1,-0.16%,122,2711
02/01/2023,601,606.25,600.25,606.25,5.25,+0.87%,167,2690
01/31/2023,598.75,604,598.5,601,1.25,+0.21%,191,2611
01/30/2023,597.5,600.75,597.25,599.75,2.75,+0.46%,122,2526
