Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/07/2023,500,502.25,486.25,487.25,-11.75,-2.35%,66662,0
07/06/2023,487.75,500.75,484.5,499,13.75,+2.83%,101908,447126
07/05/2023,498,498.25,479,485.25,-2.75,-0.56%,130702,452155
07/03/2023,486.25,499,483.25,488,-0.5,-0.10%,113417,458151
06/30/2023,525.25,532.25,486.5,488.5,-35,-6.69%,199016,457829
06/29/2023,534.75,538.25,521,523.5,-7.75,-1.46%,131752,449670
06/28/2023,558,558.5,529,531.25,-25,-4.49%,199310,444044
06/27/2023,590,590.75,550.25,556.25,-27.75,-4.75%,164190,435528
06/26/2023,590,596.5,571.25,584,-0.75,-0.13%,144640,436432
06/23/2023,612.25,613,580.25,584.75,-32.25,-5.23%,156537,419761
06/22/2023,620,622,609,617,-6.5,-1.04%,119695,409858
06/21/2023,602.25,624.75,599,623.5,30.5,+5.14%,148071,401022
06/20/2023,595.25,604.5,585.25,593,-1,-0.17%,132596,392781
06/16/2023,569,594.75,568.25,594,24,+4.21%,189708,391701
06/15/2023,546,571,545.5,570,25,+4.59%,159383,384176
06/14/2023,545,549,537.75,545,-1,-0.18%,142040,381347
06/13/2023,543.25,555,537.5,546,2.5,+0.46%,153731,386489
06/12/2023,530,544.25,529.75,543.5,19,+3.62%,124355,369733
06/09/2023,527,527.5,518,524.5,-4,-0.76%,100227,361873
06/08/2023,521,529.5,514.5,528.5,3.5,+0.67%,116618,352474
06/07/2023,532.25,534.75,521.75,525,-9.5,-1.78%,101533,346120
06/06/2023,533.75,540,526.5,534.5,4.25,+0.80%,91378,337967
06/05/2023,536.5,542,529,530.25,-5.25,-0.98%,64878,330745
06/02/2023,523.5,536,516.25,535.5,11.25,+2.15%,87286,326137
06/01/2023,516,531.25,514.75,524.25,8,+1.55%,73162,321144
05/31/2023,520.25,520.25,505.75,516.25,-3.75,-0.72%,78627,316085
05/30/2023,529,530.5,512.5,520,-9,-1.70%,82798,306577
05/26/2023,509.75,530,508.5,529,18.5,+3.62%,81011,301259
05/25/2023,515,518.5,508,510.5,-4.75,-0.92%,66933,293713
05/24/2023,511.75,521.25,509.25,515.25,3.25,+0.63%,75077,286408
05/23/2023,504.25,514.25,499.75,512,7.25,+1.44%,58076,276633
05/22/2023,493.25,506.5,491.5,504.75,10.25,+2.07%,63151,270175
05/19/2023,494.75,505.5,493.5,494.5,-1,-0.20%,107316,266619
05/18/2023,496.5,497.5,486.25,495.5,-1.5,-0.30%,84092,266808
05/17/2023,508.5,508.5,492.25,497,-9.5,-1.88%,109339,261034
05/16/2023,518,520,503.25,506.5,-11.5,-2.22%,59683,258532
05/15/2023,507,519.5,505,518,7.25,+1.42%,73918,257212
05/12/2023,513,520,505.5,510.75,-4.25,-0.83%,70004,254329
05/11/2023,520.75,520.75,513.5,515,-7.75,-1.48%,68104,253339
05/10/2023,519,523,512.25,522.75,3.75,+0.72%,89322,248816
05/09/2023,531,531.25,516.25,519,-13.75,-2.58%,77803,240696
05/08/2023,536.75,539.5,530,532.75,-4.25,-0.79%,54194,233753
05/05/2023,529.75,538,529.25,537,7.5,+1.42%,52594,229023
05/04/2023,531.75,534.75,524.5,529.5,-2.25,-0.42%,58300,222013
05/03/2023,518.5,532,512.5,531.75,11,+2.11%,67502,215521
05/02/2023,523.5,528,517.5,520.75,-3,-0.57%,65148,212786
05/01/2023,529.5,530.25,519.5,523.75,-5,-0.95%,48570,210396
04/28/2023,530.25,532.25,521.5,528.75,-2,-0.38%,60721,206524
04/27/2023,548,548,530.25,530.75,-15.75,-2.88%,63161,202984
04/26/2023,551.75,553.5,546.25,546.5,-5.25,-0.95%,27311,202113
04/25/2023,553,553,545,551.75,1,+0.18%,34655,201044
04/24/2023,553,556.25,547.5,550.75,-2,-0.36%,41524,198724
04/21/2023,562.5,564.75,551,552.75,-9.75,-1.73%,51931,196707
04/20/2023,568,568.75,558.25,562.5,-6,-1.06%,41190,193714
04/19/2023,577,577,567.75,568.5,-8.75,-1.52%,35458,192144
04/18/2023,573,579,572.75,577.25,2.75,+0.48%,38555,189300
04/17/2023,567.25,574.5,565.75,574.5,6.75,+1.19%,40106,186846
04/14/2023,561,568.25,558.5,567.75,6.75,+1.20%,34446,188702
04/13/2023,562.25,564.75,558.75,561,-1.5,-0.27%,26219,186334
04/12/2023,565.5,569.5,562.25,562.5,-4.75,-0.84%,31657,185793
04/11/2023,570,573.5,563,567.25,-3,-0.53%,27918,186271
04/10/2023,563.5,571,558.5,570.25,6,+1.06%,29571,187696
04/06/2023,568.25,569.5,563,564.25,-5,-0.88%,23289,188609
04/05/2023,569.75,572.25,564.75,569.25,0,0.00%,23289,184300
04/04/2023,576.5,579,568,569.25,-9,-1.56%,30121,182947
04/03/2023,577.5,586.25,576.25,578.25,1,+0.17%,34016,180497
03/31/2023,576.75,583.5,569,577.25,0.5,+0.09%,43924,178614
