Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
ZCZ23,07/12/2023,500.5,505.5,481.75,485.25,-16.25,-3.24%,264364,0
ZCZ23,07/11/2023,496,506.5,493.75,501.5,2,+0.40%,253329,1241940
ZCZ23,07/10/2023,497,503.25,494.5,499.5,5,+1.01%,203123,1251843
ZCZ23,07/07/2023,507,509.5,493.5,494.5,-12,-2.37%,229002,1259276
ZCZ23,07/06/2023,495.75,508.25,492.5,506.5,13,+2.63%,286648,1271877
ZCZ23,07/05/2023,504,504,485.5,493.5,0,0.00%,397722,1263091
ZCZ23,07/03/2023,492.25,505,488.75,493.5,-1.25,-0.25%,370093,1246983
ZCZ23,06/30/2023,532,537.5,493,494.75,-33.75,-6.39%,751217,1234388
ZCZ23,06/29/2023,539,543.25,526.25,528.5,-8.25,-1.54%,410460,1210278
ZCZ23,06/28/2023,562,562.5,534,536.75,-24.25,-4.32%,606728,1215370
ZCZ23,06/27/2023,593.75,594.5,555,561,-27.25,-4.63%,555262,1246075
ZCZ23,06/26/2023,594,600.75,575.5,588.25,0.25,+0.04%,505890,1282065
ZCZ23,06/23/2023,616.5,616.75,583.5,588,-32.75,-5.28%,613541,1261154
ZCZ23,06/22/2023,624.75,626.5,613.25,620.75,-8,-1.27%,486453,1300532
ZCZ23,06/21/2023,609,629.75,604.5,628.75,31.25,+5.23%,652424,1306709
ZCZ23,06/20/2023,600,609,588.5,597.5,0,0.00%,599537,1290348
ZCZ23,06/16/2023,573.5,598,572.5,597.5,23,+4.00%,788046,1286324
ZCZ23,06/15/2023,549.75,575,549.75,574.5,25.25,+4.60%,630371,1274340
ZCZ23,06/14/2023,547.25,553,542.5,549.25,-2,-0.36%,500640,1270899
ZCZ23,06/13/2023,549,559.5,543.25,551.25,2,+0.36%,542158,1295247
ZCZ23,06/12/2023,537,550.75,536.75,549.25,-55,-9.10%,514370,1296488
ZCN23,06/09/2023,608.25,609,597.5,604.25,-6,-0.98%,404315,1299428
ZCN23,06/08/2023,600,613.25,595.25,610.25,6,+0.99%,450156,1306358
ZCN23,06/07/2023,605,612.5,601.75,604.25,-3.75,-0.62%,399158,1307158
ZCN23,06/06/2023,599.75,610.75,599.75,608,10.5,+1.76%,430586,1322137
ZCN23,06/05/2023,609,614,595,597.5,-11.5,-1.89%,359977,1323577
ZCN23,06/02/2023,592.5,610.5,581.25,609,16.5,+2.78%,425951,1336982
ZCN23,06/01/2023,594,606,591.75,592.5,-1.5,-0.25%,341327,1331293
ZCN23,05/31/2023,594.25,594.75,577.5,594,0,0.00%,346675,1332173
ZCN23,05/30/2023,603.75,605,591.5,594,-10,-1.66%,394696,1319205
ZCN23,05/26/2023,590.25,606.75,588.25,604,13.25,+2.24%,407335,1328067
ZCN23,05/25/2023,587.5,593,583.5,590.75,3.5,+0.60%,294801,1323155
ZCN23,05/24/2023,577,589.75,574,587.25,9.75,+1.69%,357203,1312355
ZCN23,05/23/2023,570.25,580.75,564,577.5,6.5,+1.14%,288897,1299841
ZCN23,05/22/2023,554.75,575.5,553.25,571,16.5,+2.98%,301242,1295144
ZCN23,05/19/2023,555,571.75,551.5,554.5,-0.75,-0.14%,433923,1287637
ZCN23,05/18/2023,561.25,561.75,547,555.25,-6.25,-1.11%,405423,1284576
ZCN23,05/17/2023,581.75,582.75,554.25,561.5,-19.75,-3.40%,540454,1297722
ZCN23,05/16/2023,592,593,578.25,581.25,-11.25,-1.90%,294613,1299501
ZCN23,05/15/2023,581.5,598.75,581.5,592.5,6.25,+1.07%,334091,1292528
ZCN23,05/12/2023,581,593.75,572.75,586.25,4,+0.69%,364339,1295294
ZCN23,05/11/2023,591,592.75,580.75,582.25,-11.75,-1.98%,304654,1284150
ZCN23,05/10/2023,585.25,596,579,594,9.25,+1.58%,374831,1278189
