Time,Open,High,Low,Last,Change,%Chg,Volume
"07/12/2023 12:00",487,491.5,486.5,490.5,3.5,+0.72%,10369
"07/12/2023 11:30",484,487.75,483.75,487,3,+0.62%,17604
"07/12/2023 11:00",496.25,498.5,481.75,484,-12.5,-2.52%,58022
"07/12/2023 10:30",497.5,498,495.5,496.5,-1.25,-0.25%,7114
"07/12/2023 10:00",499,499.5,497,497.75,-1.5,-0.30%,7050
"07/12/2023 09:30",500.75,501,498,499.25,-1.5,-0.30%,6535
"07/12/2023 09:00",503.25,503.5,500,500.75,-2.5,-0.50%,8067
"07/12/2023 08:30",503.5,504,502,503.25,-0.25,-0.05%,9772
"07/12/2023 07:30",503.75,504.5,503.25,503.5,-0.25,-0.05%,1056
"07/12/2023 07:00",503,504.25,502.25,503.75,0.5,+0.10%,2442
"07/12/2023 06:30",503.25,503.5,502.75,503.25,0,0.00%,1152
"07/12/2023 06:00",503.5,503.75,503,503.25,-0.5,-0.10%,268
"07/12/2023 05:30",504,504.5,503.5,503.75,-0.25,-0.05%,305
"07/12/2023 05:00",504,504,502.75,504,0,0.00%,284
"07/12/2023 04:30",503,504.25,502.5,504,1,+0.20%,1188
"07/12/2023 04:00",503,503.25,502.75,503,0.25,+0.05%,906
"07/12/2023 03:30",501.5,503.25,501.25,502.75,1.25,+0.25%,577
"07/12/2023 03:00",502.5,503,501.5,501.5,-1,-0.20%,1172
"07/12/2023 02:30",503.25,503.75,502.25,502.5,-1,-0.20%,477
"07/12/2023 02:00",503.5,504,502.25,503.5,0,0.00%,805
"07/12/2023 01:30",503.75,504.25,503.25,503.5,-0.25,-0.05%,132
"07/12/2023 01:00",503.5,504,503.5,503.75,0.25,+0.05%,117
"07/12/2023 00:30",504,504,503.25,503.5,-0.25,-0.05%,93
"07/12/2023 00:00",504,504.25,503.75,503.75,-0.25,-0.05%,201
"07/11/2023 23:30",504.75,504.75,503.75,504,-0.5,-0.10%,308
"07/11/2023 23:00",504.75,504.75,504.5,504.5,-0.25,-0.05%,142
"07/11/2023 22:30",504.75,504.75,504.5,504.75,0.25,+0.05%,166
"07/11/2023 22:00",505.5,505.5,504.5,504.5,-0.75,-0.15%,519
"07/11/2023 21:30",505.25,505.5,505,505.25,-0.25,-0.05%,183
"07/11/2023 21:00",505.25,505.5,505.25,505.5,0.25,+0.05%,166
"07/11/2023 20:30",504.25,505.5,504.25,505.25,1,+0.20%,647
"07/11/2023 20:00",504.5,504.5,503.25,504.25,0,0.00%,243
"07/11/2023 19:30",504.5,504.75,504,504.25,-0.25,-0.05%,279
"07/11/2023 19:00",500.5,504.75,500.5,504.5,3,+0.60%,2026
"07/11/2023 13:00",501.25,502,500.25,501.5,0.25,+0.05%,8199
"07/11/2023 12:30",501.75,502.25,500.75,501.25,-0.75,-0.15%,4104
